"product_id","product_name","units_sold","revenue"
"306","Product_306","7811","3812158.5500000003"
"532","Product_532","7530","3763945.8000000003"
"53","Product_53","7920","3722795.9999999995"
"229","Product_229","8282","3698409.92"
"391","Product_391","7370","3650361.0"
"523","Product_523","7351","3566043.6100000003"
"141","Product_141","7374","3549917.34"
"113","Product_113","7567","3520168.4"
"752","Product_752","7484","3519126.4800000004"
"476","Product_476","7081","3515858.12"
"227","Product_227","7171","3489695.44"
"367","Product_367","7214","3468419.06"
"848","Product_848","6956","3467218.1999999993"
"676","Product_676","7038","3457628.6399999997"
"70","Product_70","6999","3454076.49"
